UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Science News,@ScienceNews,2020-11-20T19:35:00.000Z,"Science News
@ScienceNews
·
Nov 20, 2020","Pfizer and BioNTech’s vaccine must be kept frozen at an ultracold –70° Celsius. Moderna’s vaccine, however, can remain stable at refrigerated temperatures — between 2° to 8° C or 36° to 46° F — for 30 days.
sciencenews.org
Moderna says its COVID-19 vaccine is nearly 95 percent effective
Another coronavirus vaccine appears to be very effective in preventing people from developing COVID-19 symptoms.
14
64
239",,14,64,239,['https://pbs.twimg.com/card_img/1463538531603828738/hBY3euja?format=jpg&name=medium'],https://twitter.com/ScienceNews/status/1329870879912812547
Jenny Gieras,@JennyGieras,2020-11-20T21:57:37.000Z,"Jenny Gieras
@JennyGieras
·
Nov 20, 2020","Hey, 
@pfizer
 @moderna_tx
 ...these 5th grade scientists are designing unique viruses & developing “vaccines” for them using what they’ve learned about virology. Give them a shout if you need any help! #wearechappaqua #weare7b 
@SevenBridgesMS
 @skalberthall
 @JustOlive_Ed
2
10",,,2,10,"['https://pbs.twimg.com/media/EnTHKKSXEAAwNep?format=jpg&name=small', 'https://pbs.twimg.com/media/EnTHKPNXEAQSEKX?format=jpg&name=small', 'https://pbs.twimg.com/media/EnTHKKSXEAEMK_G?format=jpg&name=small', 'https://pbs.twimg.com/media/EnTHKREW8AIPATe?format=jpg&name=small']",https://twitter.com/JennyGieras/status/1329906773780819980
Science Channel,@ScienceChannel,2020-11-20T22:11:39.000Z,"Science Channel
@ScienceChannel
·
Nov 20, 2020","Recently Pfizer and Moderna have announced successful ongoing trials.
discovery.com
The COVID-19 Vaccine Race
The development of a vaccine for COVID-19 has been a global all hands on deck initiative since the Coronavirus pandemic took hold of the world in early 2020. Recently two pharmaceutical giants-Pfizer...
1
11
51",,1,11,51,['https://pbs.twimg.com/card_img/1463741605131792392/4iFS6kK-?format=jpg&name=small'],https://twitter.com/ScienceChannel/status/1329910301307719680
PiQ ,@PriapusIQ,2020-11-20T18:08:37.000Z,"PiQ 
@PriapusIQ
·
Nov 20, 2020"," Goldman Sachs | Global Vaccine Tracker

 Pfizer-BioNTech, Moderna, and Gamaleya Released Phase III Data with Efficacy Estimates Above 90%

 Novavax and Johnson & Johnson (J&J) Expect Results in the Coming Months, While J&J Launched a Second Double Dose Phase III Trial
10
22",💉 🔹 🔹,,10,22,"['https://pbs.twimg.com/media/EnSScRaWMA03oUf?format=png&name=900x900', 'https://pbs.twimg.com/media/EnSSc_jW8Agt8lz?format=png&name=small']",https://twitter.com/PriapusIQ/status/1329849140398985216
Forbes Middle East,@Forbes_MENA_,2020-11-20T17:00:04.000Z,"Forbes Middle East
@Forbes_MENA_
·
Nov 20, 2020","European Medicines Agency could grant a conditional license to market #COVID19 vaccines from BioTech and Moderna after December 15: EU commission president
4
8",,,4,8,['https://pbs.twimg.com/amplify_video_thumb/1329822113641934848/img/jZhX39ULCVWM8xsb.jpg'],https://twitter.com/Forbes_MENA_/status/1329831889960628224
candacemariecooper,@candies2639,2020-11-20T22:45:34.000Z,"candacemariecooper
@candies2639
·
Nov 20, 2020","Trump accuses Pfizer and Moderna of working to stop his re-election | The Independent
independent.co.uk
Trump accuses Pfizer and Moderna of working to stop his re-election
Mr Trump again claimed falsely that he had ‘won’ the election
11
7
11",,11,7,11,['https://pbs.twimg.com/card_img/1463100516301373512/GHoF28hL?format=jpg&name=medium'],https://twitter.com/candies2639/status/1329918839543435264
Amanpour and Company,@AmanpourCoPBS,2020-11-20T21:40:38.000Z,"Amanpour and Company
@AmanpourCoPBS
·
Nov 20, 2020","Moderna’s co-founder and chairman Noubar Afeyan explains how the brand-new technology of their COVID-19 vaccine works. 
@WalterIsaacson
 @NoubarAfeyan
 @moderna_tx
6
26
50",,6,26,50,['https://pbs.twimg.com/ext_tw_video_thumb/1329901794688987138/pu/img/-mme6eW1o3jC27fc.jpg'],https://twitter.com/AmanpourCoPBS/status/1329902496324734981
Amanpour and Company,@AmanpourCoPBS,2020-11-20T23:35:37.000Z,"Amanpour and Company
@AmanpourCoPBS
·
Nov 20, 2020","Moderna’s co-founder Noubar Afeyan says he hopes to see FDA approval of the company’s COVID-19 vaccine by mid-December and broad public access to the vaccine by late spring. 
@WalterIsaacson
 @NoubarAfeyan
 @moderna_tx
6
16",,,6,16,['https://pbs.twimg.com/ext_tw_video_thumb/1329931110936158212/pu/img/sNpW5Ur1gRxDssDn.jpg'],https://twitter.com/AmanpourCoPBS/status/1329931434719633408
Shea Levy,@shlevy,2020-11-20T20:36:08.000Z,"Shea Levy
@shlevy
·
Nov 20, 2020","Gosh, can you imagine.

What if Pfizer and Moderna just.

Sold the vaccine.

No EUA.

No coordination with governors or POTUS.

Just set up a distribution network and let people pay.
3
4
35",,3,4,35,[],https://twitter.com/shlevy/status/1329886264745660425
Blacksite Podcast,@blacksitepod,2020-11-20T21:09:44.000Z,"Blacksite Podcast
@blacksitepod
·
Nov 20, 2020","Moderna, which may have just solved covid and revolutionized vaccination science forever, was founded by an ethnic Armenian who immigrated from Lebanon through Canada. Their current CEO is also an immigrant. Diversity is strength.
forbes.com
Immigrant-Founded Moderna Leading The Way In Covid-19 Response
Moderna, which is leading America’s response to the novel coronavirus, is a story of welcoming talent from all over the world.
2
3
22",,2,3,22,[],https://twitter.com/blacksitepod/status/1329894719740997632
Achren Verdian,@AchrenVerdian,2020-11-20T20:40:41.000Z,"Achren Verdian
@AchrenVerdian
·
Nov 20, 2020","My Exclusive interview with the co-founder and Chairman of MODERNA 
@NoubarAfeyan
, which vaccine had 94.5% efficiency in clinical trials, on 
@France24
 @France24_fr
 @France24_en
 @France24_ar
  https://bit.ly/36YOltK #Covid_19 #vaccine #vaccin #pandemic #pandemie #coronavirus
france24.com
The Interview - Exclusive: Moderna Covid-19 vaccine has been made 'rapidly but thoroughly',...
In an exclusive interview with FRANCE 24, Noubar Afeyan, the co-founder and chairman of Moderna, discussed his biotech firm's Covid-19 vaccine, which clinical trials show is 94.5% effective. The Leba…
4
14
32",🦠 💉,4,14,32,['https://pbs.twimg.com/card_img/1462749378020462592/9dWUq9jR?format=jpg&name=medium'],https://twitter.com/AchrenVerdian/status/1329887411632005123
CBS Philly,@CBSPhilly,2020-11-20T19:09:16.000Z,"CBS Philly
@CBSPhilly
·
Nov 20, 2020","JUST IN: New Jersey is expecting shipments of Pfizer and Moderna #COVID19 vaccines as soon as December, Health Commissioner Judy Persichilli said Friday.
philadelphia.cbslocal.com
COVID-19 Vaccine Doses Could Come To New Jersey In December, State Health Commissioner Says
The earliest shipments are expected to go to health care professionals and first responders first.
1
8
10",,1,8,10,['https://pbs.twimg.com/card_img/1462170332719202306/lklnK6yU?format=jpg&name=medium'],https://twitter.com/CBSPhilly/status/1329864403676782592
PATH,@PATHtweets,2020-11-20T20:32:05.000Z,"PATH
@PATHtweets
·
Nov 20, 2020","Pfizer's and Moderna’s #COVID19 vaccine candidates have turned the vaccine #coldchain into hot news. But what it is the cold chain? How does it work? And why is it important to equitable vaccine distribution? PATH's Pat Lennon explains.
path.org
Everything you need to know about the vaccine cold chain
Vaccines need a ""cold chain."" But what is it? How does it work? And why does it matter?
18
27",,,18,27,['https://pbs.twimg.com/card_img/1462506759973740546/fycODtOJ?format=png&name=medium'],https://twitter.com/PATHtweets/status/1329885245496303619
